x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63	x64
0.0	0.0037	0.131	0.0048	0.15	0.0049	0.0046	0.0025	0.0009	0.0032	0.0009	0.0009	0.0026	0.0126	0.0025	0.0025	0.0033	0.0009	0.0009	0.0032	0.0032	0.0009	0.0007	0.0012	0.0007	0.0007	0.0008	0.0006	0.0006	0.0008	0.0008	0.0006	0.0013	0.0007	0.0007	0.0012	0.0012	0.0007	0.0008	0.0008	0.0006	0.0008	0.0007	0.0005	0.0005	0.0007	0.0007	0.0005	0.0006	0.0006	0.0005	0.0006	0.0007	0.0007	0.0005	0.0007	0.0006	0.0005	0.0005	0.0004	0.0005	0.0005	0.0005	0.0004
0.0	0.0063	0.0479	0.0686	0.1461	0.0116	0.0071	0.0019	0.0024	0.0044	0.0013	0.0013	0.0042	0.0068	0.002	0.0019	0.0108	0.0026	0.0024	0.0045	0.0044	0.0013	0.0011	0.0015	0.0008	0.0008	0.0018	0.001	0.0009	0.0012	0.0012	0.0007	0.0026	0.0012	0.0011	0.0015	0.0015	0.0008	0.0018	0.0018	0.001	0.0012	0.0011	0.0007	0.0007	0.0008	0.0008	0.0006	0.0009	0.0009	0.0006	0.0007	0.0011	0.0011	0.0007	0.0008	0.0009	0.0007	0.0007	0.0005	0.0006	0.0006	0.0007	0.0005
0.0	0.0085	0.0092	0.0102	0.7472	0.054	0.0088	0.0003	0.0003	0.0022	0.0005	0.0003	0.0004	0.0026	0.0005	0.0003	0.0033	0.0005	0.0003	0.0031	0.0022	0.0005	0.0002	0.0003	0.0002	0.0002	0.0003	0.0002	0.0002	0.0003	0.0003	0.0002	0.0003	0.0002	0.0002	0.0003	0.0003	0.0002	0.0004	0.0003	0.0002	0.0003	0.0002	0.0001	0.0001	0.0002	0.0002	0.0001	0.0002	0.0002	0.0001	0.0002	0.0002	0.0002	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.0	0.0073	0.0074	0.0076	0.8783	0.0076	0.0076	0.0001	0.0001	0.0011	0.0001	0.0001	0.0001	0.0012	0.0001	0.0001	0.0014	0.0001	0.0001	0.0011	0.0011	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.0	0.0086	0.009	0.0095	0.3894	0.4466	0.0089	0.0006	0.0006	0.0013	0.0022	0.0006	0.0007	0.0014	0.0023	0.0006	0.0016	0.0025	0.0006	0.0173	0.0013	0.0022	0.0004	0.0005	0.0006	0.0003	0.0005	0.0006	0.0003	0.0009	0.0004	0.0006	0.0005	0.0006	0.0004	0.001	0.0005	0.0006	0.0011	0.0005	0.0006	0.0009	0.0003	0.0003	0.0002	0.0004	0.0003	0.0003	0.0005	0.0003	0.0003	0.0004	0.0005	0.0003	0.0003	0.0004	0.0005	0.0003	0.0002	0.0002	0.0003	0.0003	0.0003	0.0002
0.0	0.0072	0.0236	0.0076	0.8234	0.0079	0.0075	0.0002	0.0002	0.0014	0.0002	0.0002	0.0002	0.0018	0.0002	0.0002	0.0016	0.0002	0.0002	0.0014	0.0014	0.0002	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0002	0.0002	0.0001	0.0002	0.0001	0.0001	0.0002	0.0002	0.0001	0.0002	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.0	0.0073	0.4353	0.0076	0.42	0.0077	0.0076	0.001	0.0003	0.0008	0.0003	0.0003	0.0011	0.0065	0.001	0.001	0.0008	0.0003	0.0003	0.0008	0.0008	0.0003	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0004	0.0002	0.0002	0.0003	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.0	0.007	0.007	0.007	0.8622	0.0072	0.0072	0.0001	0.0001	0.0011	0.0001	0.0001	0.0001	0.0011	0.0001	0.0001	0.0011	0.0001	0.0001	0.0011	0.0011	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.0	0.0087	0.009	0.0094	0.8028	0.0507	0.009	0.0002	0.0002	0.0013	0.0002	0.0002	0.0002	0.0013	0.0002	0.0002	0.0015	0.0002	0.0002	0.0013	0.0013	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.0	0.0069	0.0069	0.007	0.8563	0.0072	0.0072	0.0002	0.0002	0.0011	0.0002	0.0002	0.0002	0.0011	0.0002	0.0002	0.0012	0.0002	0.0002	0.0011	0.0011	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.0	0.0076	0.0077	0.0079	0.803	0.0574	0.0079	0.0002	0.0002	0.0011	0.0002	0.0002	0.0002	0.0011	0.0002	0.0002	0.0011	0.0002	0.0002	0.0012	0.0011	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.0	0.0261	0.0768	0.0054	0.0312	0.0056	0.0057	0.0118	0.0023	0.0042	0.0023	0.0023	0.0049	0.0145	0.0049	0.0049	0.0026	0.0016	0.0016	0.0026	0.0026	0.0016	0.0021	0.0037	0.0021	0.0021	0.0015	0.0012	0.0012	0.0015	0.0015	0.0012	0.0024	0.0016	0.0016	0.0024	0.0024	0.0016	0.0013	0.0013	0.001	0.0013	0.0016	0.0012	0.0012	0.0016	0.0016	0.0012	0.0011	0.0011	0.0009	0.0011	0.0013	0.0013	0.0011	0.0013	0.001	0.0012	0.0012	0.001	0.0012	0.0009	0.001	0.001
