x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63
0.0006	0.2525	0.0006	0.0006	0.0006	0.0006	0.0793	0.0003	0.0003	0.0003	0.0003	0.0793	0.0793	0.0793	0.0793	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.025	0.025	0.025	0.025	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.025	0.025	0.025	0.025	0.025	0.025	0.0002	0.0002	0.0002	0.0002	0.0079	0.0079	0.0079	0.0079	0.0079	0.0079	0.0001	0.0001	0.0001	0.0001	0.0079	0.0079	0.0079	0.0079	0.0001	0.0025	0.0025	0.0025	0.0025	0.0	0.0025	0.0008
0.0006	0.2525	0.0006	0.0006	0.0006	0.0006	0.0793	0.0003	0.0003	0.0003	0.0003	0.0793	0.0793	0.0793	0.0793	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.025	0.025	0.025	0.025	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.025	0.025	0.025	0.025	0.025	0.025	0.0002	0.0002	0.0002	0.0002	0.0079	0.0079	0.0079	0.0079	0.0079	0.0079	0.0001	0.0001	0.0001	0.0001	0.0079	0.0079	0.0079	0.0079	0.0001	0.0025	0.0025	0.0025	0.0025	0.0	0.0025	0.0008
0.0014	0.0014	0.0673	0.0014	0.0014	0.0014	0.0019	0.045	0.0019	0.0019	0.0019	0.045	0.0019	0.0019	0.0019	0.045	0.045	0.045	0.0019	0.0019	0.0019	0.0319	0.002	0.002	0.002	0.0319	0.0319	0.0319	0.002	0.002	0.002	0.0319	0.0319	0.0319	0.002	0.002	0.002	0.0319	0.0319	0.0319	0.002	0.0232	0.0232	0.0232	0.0019	0.0019	0.0019	0.0232	0.0232	0.0232	0.0019	0.0232	0.0232	0.0232	0.0019	0.0232	0.0172	0.0172	0.0172	0.0017	0.0172	0.0172	0.0129
0.0014	0.0014	0.0014	0.0699	0.0014	0.0014	0.0018	0.0018	0.046	0.0018	0.0018	0.0018	0.046	0.0018	0.0018	0.046	0.0018	0.0018	0.046	0.046	0.0018	0.0019	0.0321	0.0019	0.0019	0.0321	0.0019	0.0019	0.0321	0.0321	0.0019	0.0321	0.0019	0.0019	0.0321	0.0321	0.0019	0.0321	0.0321	0.0019	0.0321	0.023	0.0018	0.0018	0.023	0.023	0.0018	0.023	0.023	0.0018	0.023	0.023	0.023	0.0018	0.023	0.023	0.0167	0.0167	0.0016	0.0167	0.0167	0.0167	0.0122
0.0003	0.0003	0.0003	0.4283	0.0003	0.0003	0.0001	0.0001	0.0789	0.0001	0.0001	0.0001	0.0789	0.0001	0.0001	0.0789	0.0001	0.0001	0.0789	0.0789	0.0001	0.0	0.0145	0.0	0.0	0.0145	0.0	0.0	0.0145	0.0145	0.0	0.0145	0.0	0.0	0.0145	0.0145	0.0	0.0145	0.0145	0.0	0.0145	0.0027	0.0	0.0	0.0027	0.0027	0.0	0.0027	0.0027	0.0	0.0027	0.0027	0.0027	0.0	0.0027	0.0027	0.0005	0.0005	0.0	0.0005	0.0005	0.0005	0.0001
0.0001	0.0001	0.0001	0.0001	0.6202	0.0001	0.0	0.0	0.0	0.0621	0.0	0.0	0.0	0.0621	0.0	0.0	0.0621	0.0	0.0621	0.0	0.0621	0.0	0.0	0.0062	0.0	0.0	0.0062	0.0	0.0062	0.0	0.0062	0.0	0.0062	0.0	0.0062	0.0	0.0062	0.0062	0.0	0.0062	0.0062	0.0	0.0006	0.0	0.0006	0.0	0.0006	0.0006	0.0	0.0006	0.0006	0.0006	0.0	0.0006	0.0006	0.0006	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0
0.0001	0.0001	0.0001	0.6202	0.0001	0.0001	0.0	0.0	0.0621	0.0	0.0	0.0	0.0621	0.0	0.0	0.0621	0.0	0.0	0.0621	0.0621	0.0	0.0	0.0062	0.0	0.0	0.0062	0.0	0.0	0.0062	0.0062	0.0	0.0062	0.0	0.0	0.0062	0.0062	0.0	0.0062	0.0062	0.0	0.0062	0.0006	0.0	0.0	0.0006	0.0006	0.0	0.0006	0.0006	0.0	0.0006	0.0006	0.0006	0.0	0.0006	0.0006	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0
0.0002	0.0002	0.0002	0.5037	0.0002	0.0002	0.0001	0.0001	0.0739	0.0001	0.0001	0.0001	0.0739	0.0001	0.0001	0.0739	0.0001	0.0001	0.0739	0.0739	0.0001	0.0	0.0108	0.0	0.0	0.0108	0.0	0.0	0.0108	0.0108	0.0	0.0108	0.0	0.0	0.0108	0.0108	0.0	0.0108	0.0108	0.0	0.0108	0.0016	0.0	0.0	0.0016	0.0016	0.0	0.0016	0.0016	0.0	0.0016	0.0016	0.0016	0.0	0.0016	0.0016	0.0002	0.0002	0.0	0.0002	0.0002	0.0002	0.0
0.0002	0.0002	0.0002	0.5562	0.0002	0.0002	0.0	0.0	0.0691	0.0	0.0	0.0	0.0691	0.0	0.0	0.0691	0.0	0.0	0.0691	0.0691	0.0	0.0	0.0086	0.0	0.0	0.0086	0.0	0.0	0.0086	0.0086	0.0	0.0086	0.0	0.0	0.0086	0.0086	0.0	0.0086	0.0086	0.0	0.0086	0.0011	0.0	0.0	0.0011	0.0011	0.0	0.0011	0.0011	0.0	0.0011	0.0011	0.0011	0.0	0.0011	0.0011	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0
0.0002	0.5562	0.0002	0.0002	0.0002	0.0002	0.0691	0.0	0.0	0.0	0.0	0.0691	0.0691	0.0691	0.0691	0.0	0.0	0.0	0.0	0.0	0.0	0.0086	0.0086	0.0086	0.0086	0.0	0.0	0.0	0.0	0.0	0.0	0.0086	0.0086	0.0086	0.0086	0.0086	0.0086	0.0	0.0	0.0	0.0	0.0011	0.0011	0.0011	0.0011	0.0011	0.0011	0.0	0.0	0.0	0.0	0.0011	0.0011	0.0011	0.0011	0.0	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0
0.0002	0.0002	0.0002	0.5358	0.0002	0.0002	0.0	0.0	0.0711	0.0	0.0	0.0	0.0711	0.0	0.0	0.0711	0.0	0.0	0.0711	0.0711	0.0	0.0	0.0094	0.0	0.0	0.0094	0.0	0.0	0.0094	0.0094	0.0	0.0094	0.0	0.0	0.0094	0.0094	0.0	0.0094	0.0094	0.0	0.0094	0.0012	0.0	0.0	0.0012	0.0012	0.0	0.0012	0.0012	0.0	0.0012	0.0012	0.0012	0.0	0.0012	0.0012	0.0002	0.0002	0.0	0.0002	0.0002	0.0002	0.0
0.0	0.0	0.0	0.0032	0.0032	0.0	0.0	0.0	0.0006	0.0006	0.0	0.0	0.0006	0.0006	0.0	0.0006	0.0006	0.0	0.6015	0.0006	0.0006	0.0	0.0001	0.0001	0.0	0.0001	0.0001	0.0	0.0793	0.0001	0.0001	0.0001	0.0001	0.0	0.0793	0.0001	0.0001	0.0793	0.0001	0.0001	0.0793	0.0	0.0	0.0	0.0105	0.0	0.0	0.0105	0.0	0.0	0.0105	0.0105	0.0	0.0	0.0105	0.0105	0.0014	0.0	0.0	0.0014	0.0014	0.0014	0.0002
0.0002	0.0002	0.0002	0.5372	0.0002	0.0002	0.0	0.0	0.0709	0.0	0.0	0.0	0.0709	0.0	0.0	0.0709	0.0	0.0	0.0709	0.0709	0.0	0.0	0.0094	0.0	0.0	0.0094	0.0	0.0	0.0094	0.0094	0.0	0.0094	0.0	0.0	0.0094	0.0094	0.0	0.0094	0.0094	0.0	0.0094	0.0012	0.0	0.0	0.0012	0.0012	0.0	0.0012	0.0012	0.0	0.0012	0.0012	0.0012	0.0	0.0012	0.0012	0.0002	0.0002	0.0	0.0002	0.0002	0.0002	0.0
