x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63
0.0005	0.245	0.0005	0.0005	0.0005	0.0005	0.079	0.0003	0.0003	0.0003	0.0003	0.079	0.079	0.079	0.079	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0256	0.0256	0.0256	0.0256	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0256	0.0256	0.0256	0.0256	0.0256	0.0256	0.0001	0.0001	0.0001	0.0001	0.0083	0.0083	0.0083	0.0083	0.0083	0.0083	0.0001	0.0001	0.0001	0.0001	0.0083	0.0083	0.0083	0.0083	0.0001	0.0027	0.0027	0.0027	0.0027	0.0	0.0027	0.0009
0.0005	0.245	0.0005	0.0005	0.0005	0.0005	0.079	0.0003	0.0003	0.0003	0.0003	0.079	0.079	0.079	0.079	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0256	0.0256	0.0256	0.0256	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0256	0.0256	0.0256	0.0256	0.0256	0.0256	0.0001	0.0001	0.0001	0.0001	0.0083	0.0083	0.0083	0.0083	0.0083	0.0083	0.0001	0.0001	0.0001	0.0001	0.0083	0.0083	0.0083	0.0083	0.0001	0.0027	0.0027	0.0027	0.0027	0.0	0.0027	0.0009
0.0013	0.0013	0.0657	0.0013	0.0013	0.0013	0.0017	0.0446	0.0017	0.0017	0.0017	0.0446	0.0017	0.0017	0.0017	0.0446	0.0446	0.0446	0.0017	0.0017	0.0017	0.0321	0.0018	0.0018	0.0018	0.0321	0.0321	0.0321	0.0018	0.0018	0.0018	0.0321	0.0321	0.0321	0.0018	0.0018	0.0018	0.0321	0.0321	0.0321	0.0018	0.0236	0.0236	0.0236	0.0017	0.0017	0.0017	0.0236	0.0236	0.0236	0.0017	0.0236	0.0236	0.0236	0.0017	0.0236	0.0177	0.0177	0.0177	0.0016	0.0177	0.0177	0.0134
0.0013	0.0013	0.0013	0.0681	0.0013	0.0013	0.0016	0.0016	0.0456	0.0016	0.0016	0.0016	0.0456	0.0016	0.0016	0.0456	0.0016	0.0016	0.0456	0.0456	0.0016	0.0017	0.0323	0.0017	0.0017	0.0323	0.0017	0.0017	0.0323	0.0323	0.0017	0.0323	0.0017	0.0017	0.0323	0.0323	0.0017	0.0323	0.0323	0.0017	0.0323	0.0234	0.0016	0.0016	0.0234	0.0234	0.0016	0.0234	0.0234	0.0016	0.0234	0.0234	0.0234	0.0016	0.0234	0.0234	0.0171	0.0171	0.0014	0.0171	0.0171	0.0171	0.0127
0.0003	0.0003	0.0003	0.4194	0.0003	0.0003	0.0001	0.0001	0.0794	0.0001	0.0001	0.0001	0.0794	0.0001	0.0001	0.0794	0.0001	0.0001	0.0794	0.0794	0.0001	0.0	0.015	0.0	0.0	0.015	0.0	0.0	0.015	0.015	0.0	0.015	0.0	0.0	0.015	0.015	0.0	0.015	0.015	0.0	0.015	0.0028	0.0	0.0	0.0028	0.0028	0.0	0.0028	0.0028	0.0	0.0028	0.0028	0.0028	0.0	0.0028	0.0028	0.0005	0.0005	0.0	0.0005	0.0005	0.0005	0.0001
0.0001	0.0001	0.0001	0.0001	0.6124	0.0001	0.0	0.0	0.0	0.063	0.0	0.0	0.0	0.063	0.0	0.0	0.063	0.0	0.063	0.0	0.063	0.0	0.0	0.0065	0.0	0.0	0.0065	0.0	0.0065	0.0	0.0065	0.0	0.0065	0.0	0.0065	0.0	0.0065	0.0065	0.0	0.0065	0.0065	0.0	0.0007	0.0	0.0007	0.0	0.0007	0.0007	0.0	0.0007	0.0007	0.0007	0.0	0.0007	0.0007	0.0007	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0
0.0001	0.0001	0.0001	0.6124	0.0001	0.0001	0.0	0.0	0.063	0.0	0.0	0.0	0.063	0.0	0.0	0.063	0.0	0.0	0.063	0.063	0.0	0.0	0.0065	0.0	0.0	0.0065	0.0	0.0	0.0065	0.0065	0.0	0.0065	0.0	0.0	0.0065	0.0065	0.0	0.0065	0.0065	0.0	0.0065	0.0007	0.0	0.0	0.0007	0.0007	0.0	0.0007	0.0007	0.0	0.0007	0.0007	0.0007	0.0	0.0007	0.0007	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0
0.0002	0.0002	0.0002	0.4949	0.0002	0.0002	0.0001	0.0001	0.0746	0.0001	0.0001	0.0001	0.0746	0.0001	0.0001	0.0746	0.0001	0.0001	0.0746	0.0746	0.0001	0.0	0.0112	0.0	0.0	0.0112	0.0	0.0	0.0112	0.0112	0.0	0.0112	0.0	0.0	0.0112	0.0112	0.0	0.0112	0.0112	0.0	0.0112	0.0017	0.0	0.0	0.0017	0.0017	0.0	0.0017	0.0017	0.0	0.0017	0.0017	0.0017	0.0	0.0017	0.0017	0.0003	0.0003	0.0	0.0003	0.0003	0.0003	0.0
0.0002	0.0002	0.0002	0.5478	0.0002	0.0002	0.0	0.0	0.07	0.0	0.0	0.0	0.07	0.0	0.0	0.07	0.0	0.0	0.07	0.07	0.0	0.0	0.0089	0.0	0.0	0.0089	0.0	0.0	0.0089	0.0089	0.0	0.0089	0.0	0.0	0.0089	0.0089	0.0	0.0089	0.0089	0.0	0.0089	0.0011	0.0	0.0	0.0011	0.0011	0.0	0.0011	0.0011	0.0	0.0011	0.0011	0.0011	0.0	0.0011	0.0011	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0
0.0002	0.5478	0.0002	0.0002	0.0002	0.0002	0.07	0.0	0.0	0.0	0.0	0.07	0.07	0.07	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0089	0.0089	0.0089	0.0089	0.0	0.0	0.0	0.0	0.0	0.0	0.0089	0.0089	0.0089	0.0089	0.0089	0.0089	0.0	0.0	0.0	0.0	0.0011	0.0011	0.0011	0.0011	0.0011	0.0011	0.0	0.0	0.0	0.0	0.0011	0.0011	0.0011	0.0011	0.0	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0
