x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63
0.0079	0.522	0.0249	0.0166	0.0096	0.0093	0.0124	0.0033	0.0029	0.0025	0.0025	0.0274	0.0195	0.0129	0.0125	0.0037	0.0033	0.0033	0.0029	0.0029	0.0025	0.0035	0.003	0.0026	0.0026	0.0018	0.0018	0.0018	0.0017	0.0017	0.0016	0.0039	0.0035	0.0035	0.003	0.003	0.0026	0.0019	0.0018	0.0018	0.0017	0.0019	0.0018	0.0018	0.0017	0.0017	0.0016	0.0014	0.0014	0.0013	0.0013	0.0019	0.0019	0.0018	0.0017	0.0014	0.0015	0.0015	0.0014	0.0014	0.0012	0.0015	0.0013
0.0079	0.522	0.0249	0.0166	0.0096	0.0093	0.0124	0.0033	0.0029	0.0025	0.0025	0.0274	0.0195	0.0129	0.0125	0.0037	0.0033	0.0033	0.0029	0.0029	0.0025	0.0035	0.003	0.0026	0.0026	0.0018	0.0018	0.0018	0.0017	0.0017	0.0016	0.0039	0.0035	0.0035	0.003	0.003	0.0026	0.0019	0.0018	0.0018	0.0017	0.0019	0.0018	0.0018	0.0017	0.0017	0.0016	0.0014	0.0014	0.0013	0.0013	0.0019	0.0019	0.0018	0.0017	0.0014	0.0015	0.0015	0.0014	0.0014	0.0012	0.0015	0.0013
0.007	0.0703	0.0085	0.113	0.0121	0.0088	0.0048	0.0024	0.0074	0.0025	0.0024	0.0051	0.0323	0.005	0.0048	0.0079	0.0026	0.0025	0.0076	0.0075	0.0025	0.0019	0.0043	0.0019	0.0019	0.0024	0.0015	0.0015	0.0024	0.0024	0.0015	0.0046	0.002	0.0019	0.0043	0.0043	0.0019	0.0025	0.0024	0.0015	0.0024	0.0021	0.0014	0.0014	0.002	0.002	0.0014	0.0016	0.0016	0.0012	0.0016	0.0021	0.0021	0.0014	0.002	0.0016	0.0017	0.0017	0.0013	0.0016	0.0014	0.0017	0.0016
0.0135	0.0728	0.0363	0.0876	0.0364	0.0155	0.0046	0.0037	0.006	0.0033	0.0025	0.0112	0.0094	0.0056	0.0046	0.0114	0.0052	0.0037	0.0068	0.006	0.0033	0.0023	0.0024	0.0018	0.0016	0.0027	0.0018	0.0016	0.002	0.0019	0.0015	0.0041	0.0026	0.0023	0.0025	0.0024	0.0018	0.0029	0.0027	0.0018	0.002	0.0019	0.0015	0.0014	0.0015	0.0015	0.0012	0.0016	0.0016	0.0013	0.0013	0.002	0.0019	0.0015	0.0015	0.0016	0.0015	0.0014	0.0012	0.0012	0.0013	0.0015	0.0013
0.021	0.0258	0.0293	0.4756	0.2614	0.022	0.0008	0.0008	0.0032	0.0019	0.0007	0.0008	0.0034	0.002	0.0008	0.0037	0.002	0.0008	0.0047	0.0032	0.0019	0.0004	0.0005	0.0005	0.0004	0.0005	0.0005	0.0004	0.0006	0.0005	0.0005	0.0006	0.0005	0.0004	0.0006	0.0005	0.0005	0.0006	0.0005	0.0005	0.0006	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003
0.0007	0.0008	0.0009	0.9045	0.0012	0.0012	0.0003	0.0003	0.003	0.0003	0.0003	0.0003	0.0032	0.0003	0.0003	0.0033	0.0003	0.0003	0.0031	0.003	0.0003	0.0002	0.0003	0.0002	0.0002	0.0003	0.0002	0.0002	0.0003	0.0003	0.0002	0.0003	0.0002	0.0002	0.0003	0.0003	0.0002	0.0003	0.0003	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0002	0.0002	0.0002	0.0001
0.0121	0.0131	0.0139	0.117	0.4094	0.0125	0.0041	0.0041	0.0066	0.013	0.0039	0.0043	0.0071	0.014	0.0041	0.0075	0.0148	0.0041	0.1162	0.0066	0.0131	0.0024	0.0031	0.0041	0.0023	0.0031	0.0041	0.0023	0.0068	0.003	0.004	0.0033	0.0043	0.0024	0.0073	0.0031	0.0041	0.0077	0.0031	0.0041	0.0068	0.0019	0.0024	0.0015	0.0031	0.0019	0.0023	0.0032	0.0019	0.0023	0.003	0.0033	0.0019	0.0024	0.0031	0.0032	0.002	0.0013	0.0016	0.0019	0.0019	0.002	0.0014
0.0139	0.2892	0.0184	0.5216	0.0156	0.0147	0.0015	0.0005	0.0024	0.0005	0.0005	0.0015	0.0035	0.0015	0.0015	0.0025	0.0005	0.0005	0.0024	0.0024	0.0005	0.0003	0.0004	0.0003	0.0003	0.0004	0.0003	0.0003	0.0004	0.0004	0.0003	0.0004	0.0003	0.0003	0.0004	0.0004	0.0003	0.0004	0.0004	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002
0.0108	0.3917	0.012	0.1332	0.0114	0.0112	0.0119	0.0038	0.006	0.0037	0.0037	0.0129	0.1301	0.0121	0.0119	0.0065	0.0038	0.0038	0.0061	0.006	0.0037	0.0038	0.0063	0.0038	0.0038	0.0029	0.0022	0.0022	0.0028	0.0028	0.0022	0.0067	0.0038	0.0038	0.0064	0.0063	0.0038	0.0029	0.0029	0.0022	0.0028	0.0029	0.0022	0.0022	0.0029	0.0029	0.0022	0.0018	0.0018	0.0015	0.0018	0.0029	0.0029	0.0022	0.0029	0.0018	0.0018	0.0018	0.0015	0.0018	0.0013	0.0018	0.0013
0.0002	0.0002	0.0002	0.8902	0.0009	0.0009	0.0003	0.0003	0.0031	0.0003	0.0003	0.0003	0.0031	0.0003	0.0003	0.0032	0.0003	0.0003	0.0031	0.0031	0.0003	0.0003	0.0004	0.0003	0.0003	0.0004	0.0003	0.0003	0.0004	0.0004	0.0003	0.0004	0.0003	0.0003	0.0004	0.0004	0.0003	0.0004	0.0004	0.0003	0.0004	0.0003	0.0002	0.0002	0.0003	0.0003	0.0002	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002
